stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
9066, 4815, "Klaņģi", , 56.8185320, 24.2937541, 9066, , , , , 
9067, 4816, "Bērzmente", , 56.8251481, 24.3139035, 9067, , , , , 
9068, 4816, "Bērzmente", , 56.8254661, 24.3154922, 9068, , , , , 
9069, 4817, "Smildziņas", , 56.8271357, 24.3284337, 9069, , , , , 
9070, 4817, "Smildziņas", , 56.8269119, 24.3307346, 9070, , , , , 
9071, 4818, "Dzintari", , 56.8266208, 24.3444717, 9071, , , , , 
9072, 4818, "Dzintari", , 56.8262895, 24.3485361, 9072, , , , , 
9073, 4819, "Bramberģe", , 56.8257437, 24.3659313, 9073, , , , , 
9074, 4819, "Bramberģe", , 56.8254438, 24.3680108, 9074, , , , , 
9075, 4820, "Birzītes", , 56.8227997, 24.3905700, 9075, , , , , 
9076, 4820, "Birzītes", , 56.8223261, 24.3938501, 9076, , , , , 
9077, 4821, "Daugmale", , 56.8215314, 24.4175216, 9077, , , , , 
9078, 4821, "Daugmale", , 56.8213723, 24.4187001, 9078, , , , , 
9079, 4822, "Skola", , 56.8213627, 24.4238122, 9079, , , , , 
9080, 4822, "Skola", , 56.8211710, 24.4263939, 9080, , , , , 
9081, 4823, "Kalniņi", , 56.8206195, 24.4467096, 9081, , , , , 
9082, 4823, "Kalniņi", , 56.8203614, 24.4478930, 9082, , , , , 
9083, 4825, "Līdakas", , 56.8024284, 24.5053885, 9083, , , , , 
9084, 4825, "Līdakas", , 56.8022686, 24.5056687, 9084, , , , , 
9085, 4826, "Baltā māja", , 56.7985574, 24.2607663, 9085, , , , , 
9086, 4826, "Baltā māja", , 56.7982460, 24.2616131, 9086, , , , , 
9087, 4827, "Krūkļi", , 56.7960421, 24.2729381, 9087, , , , , 
9088, 4828, "Pulkarne", , 56.7861961, 24.2965614, 9088, , , , , 
9089, 4828, "Pulkarne", , 56.7867683, 24.2959181, 9089, , , , , 
9090, 4829, "Ādu apstrādes cehs", , 56.7801703, 24.2998798, 9090, , , , , 
9091, 4829, "Ādu apstrādes cehs", , 56.7795967, 24.2999416, 9091, , , , , 
9092, 4830, "Ebes", , 56.7694616, 24.3061624, 9092, , , , , 
9093, 4830, "Ebes", , 56.7689492, 24.3062979, 9093, , , , , 
9094, 4831, "Kalniņi", , 56.7591662, 24.3236870, 9094, , , , , 
9095, 4831, "Kalniņi", , 56.7586308, 24.3243347, 9095, , , , , 
9096, 4833, "Mežvidi", , 56.7451100, 24.3526087, 9096, , , , , 
9097, 4833, "Mežvidi", , 56.7447765, 24.3533500, 9097, , , , , 
9102, 4837, "Brāļu kapi", , 56.7425124, 24.3661190, 9102, , , , , 
9103, 4837, "Brāļu kapi", , 56.7424519, 24.3662008, 9103, , , , , 
9104, 4838, "Skromi", , 56.1787220, 25.9447151, 9104, , , , , 
9105, 4856, "Mazslate", , 56.2105509, 25.9322397, 9105, , , , , 
9106, 4858, "Rāmava", , 56.8911154, 24.1468956, 9106, , , , , 
9107, 4858, "Rāmava", , 56.8899235, 24.1480971, 9107, , , , , 
