service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
88566, 0, 1, 0, 0, 0, 0, 0, 20210407, 20210531
88567, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88573, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
88576, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
88581, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88582, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88583, 1, 0, 0, 0, 0, 0, 0, 20210407, 20210531
88584, 0, 0, 0, 0, 1, 0, 0, 20210407, 20210531
88589, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88590, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88592, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88597, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88598, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88599, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88600, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88601, 0, 1, 0, 0, 0, 0, 0, 20210407, 20210531
88606, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88607, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88608, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88609, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88614, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88615, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88616, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88623, 0, 0, 0, 0, 1, 0, 0, 20210407, 20210531
88625, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88626, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88631, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88632, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88633, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88634, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88639, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
