route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, block_id, shape_id, wheelchair_accessible, bikes_allowed
6200653, 145510, 145510, , , , , 85989, , 
6200434, 145556, 145556, , , , , 87801, , 
6200519, 145633, 145633, , , , , 87715, , 
6200528, 145656, 145656, , , , , 87998, , 
6100322, 145676, 145676, , , , , 87926, , 
6100335, 145702, 145702, , , , , 87975, , 
6200971, 145848, 145848, , , , , 84439, , 
6201199, 145868, 145868, , , , , 84278, , 
6200042, 145911, 145911, , , , , 84933, , 
6201517, 146174, 146174, , , , , 84912, , 
6201351, 146197, 146197, , , , , 86974, , 
6201287, 146217, 146217, , , , , 86993, , 
6201289, 146240, 146240, , , , , 87001, , 
6201289, 146243, 146243, , , , , 85848, , 
6201279, 146263, 146263, , , , , 85163, , 
2100676, 146389, 146389, , , , , 84485, , 
2100676, 146409, 146409, , , , , 84681, , 
2101092, 146452, 146452, , , , , 87135, , 
2101096, 146472, 146472, , , , , 86002, , 
2101098, 146489, 146489, , , , , 85299, , 
2100668, 146512, 146512, , , , , 86017, , 
2101128, 146535, 146535, , , , , 86126, , 
6201212, 146801, 146801, , , , , 86036, , 
6200524, 146907, 146907, , , , , 87718, , 
6201490, 146930, 146930, , , , , 84357, , 
2201023, 147030, 147030, , , , , 86497, , 
2200263, 147076, 147076, , , , , 86917, , 
2201033, 147096, 147096, , , , , , , 
2200444, 147176, 147176, , , , , 87883, , 
2200480, 147199, 147199, , , , , 87712, , 
2200510, 147222, 147222, , , , , 87951, , 
6601599, 147468, 147468, , , , , , , 
1601409, 147840, 147840, , , , , 86950, , 
5501231, 147863, 147863, , , , , 85950, , 
5501231, 147883, 147883, , , , , 88139, , 
5501231, 147886, 147886, , , , , 85957, , 
6201460, 148155, 148155, , , , , 89176, , 
2101245, 148304, 148304, , , , , 89022, , 
2101247, 148381, 148381, , , , , 88968, , 
2101248, 148404, 148404, , , , , 89313, , 
6201205, 148527, 148527, , , , , 90079, , 
6201205, 148530, 148530, , , , , 90081, , 
6201205, 148550, 148550, , , , , 90138, , 
5900153, 148842, 148842, , , , , 89074, , 
2100501, 148922, 148922, , , , , , , 
6201211, 148945, 148945, , , , , 90052, , 
6200309, 148968, 148968, , , , , 90405, , 
6200359, 148988, 148988, , , , , 90342, , 
6200432, 149011, 149011, , , , , 90262, , 
1041215, 149071, 149071, , , , , , , 
5801312, 149483, 149483, , , , , 89569, , 
5800068, 149506, 149506, , , , , 90160, , 
5800343, 149529, 149529, , , , , 90276, , 
5800350, 149552, 149552, , , , , 90367, , 
6801151, 149612, 149612, , , , , 89533, , 
6801153, 149629, 149629, , , , , 89662, , 
6800197, 149718, 149718, , , , , 89859, , 
6801346, 149778, 149778, , , , , 89905, , 
6800207, 149844, 149844, , , , , , , 
6800536, 149901, 149901, , , , , 90408, , 
1040503, 149924, 149924, , , , , 90270, , 
1701600, 150024, 150024, , , , , , , 
1700375, 150047, 150047, , , , , 90423, , 
1700375, 150070, 150070, , , , , 90427, , 
1701111, 150093, 150093, , , , , , , 
1701430, 150110, 150110, , , , , 90545, , 
2100277, 150153, 150153, , , , , 89673, , 
2101158, 150170, 150170, , , , , 89682, , 
2100282, 150196, 150196, , , , , 89713, , 
2100286, 150216, 150216, , , , , 90091, , 
2100749, 150239, 150239, , , , , 90094, , 
2101170, 150302, 150302, , , , , 90182, , 
2101424, 150319, 150319, , , , , 90185, , 
6400008, 150342, 150342, , , , , 89479, , 
2101080, 150734, 150734, , , , , , , 
2101245, 150843, 150843, , , , , , , 
2101245, 150857, 150857, , , , , , , 
2101298, 150903, 150903, , , , , 89853, , 
2101303, 150926, 150926, , , , , 89726, , 
2101389, 150983, 150983, , , , , 90198, , 
2100380, 151003, 151003, , , , , 90313, , 
2100380, 151072, 151072, , , , , 90556, , 
2100471, 151086, 151086, , , , , 90578, , 
2101251, 151106, 151106, , , , , , , 
5500611, 126738, 126738, , , , , 79731, , 
5500787, 126758, 126758, , , , , 79964, , 
5501387, 126821, 126821, , , , , 80604, , 
5501466, 126904, 126904, , , , , 81201, , 
1040441, 126927, 126927, , , , , 81411, , 
